#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last
Cc1,CH6,Market Price,2015-12-31T15:00:00.000000000Z,-6,Intraday 1Hour,358.25,358.5,357.5,357.75
Cc1,CH6,Market Price,2015-12-31T16:00:00.000000000Z,-6,Intraday 1Hour,357.75,360.25,357.75,359.0
Cc1,CH6,Market Price,2015-12-31T17:00:00.000000000Z,-6,Intraday 1Hour,359.0,359.0,357.5,358.5
Cc1,CH6,Market Price,2015-12-31T18:00:00.000000000Z,-6,Intraday 1Hour,358.5,358.75,358.0,358.5
Cc1,CH6,Market Price,2015-12-31T19:00:00.000000000Z,-6,Intraday 1Hour,358.25,359.25,358.0,358.0
Cc1,CH6,Market Price,2016-01-04T01:00:00.000000000Z,-6,Intraday 1Hour,359.5,360.0,358.25,358.5
Cc1,CH6,Market Price,2016-01-04T02:00:00.000000000Z,-6,Intraday 1Hour,358.5,358.5,358.0,358.25
Cc1,CH6,Market Price,2016-01-04T03:00:00.000000000Z,-6,Intraday 1Hour,358.25,358.25,358.0,358.25
Cc1,CH6,Market Price,2016-01-04T04:00:00.000000000Z,-6,Intraday 1Hour,358.0,358.25,358.0,358.0
Cc1,CH6,Market Price,2016-01-04T05:00:00.000000000Z,-6,Intraday 1Hour,358.0,358.25,358.0,358.25
Cc1,CH6,Market Price,2016-01-04T06:00:00.000000000Z,-6,Intraday 1Hour,358.25,358.25,357.75,357.75
Cc1,CH6,Market Price,2016-01-04T07:00:00.000000000Z,-6,Intraday 1Hour,357.75,358.0,357.75,357.75
Cc1,CH6,Market Price,2016-01-04T08:00:00.000000000Z,-6,Intraday 1Hour,357.75,358.25,357.75,358.0
Cc1,CH6,Market Price,2016-01-04T09:00:00.000000000Z,-6,Intraday 1Hour,358.0,358.25,357.75,358.0
Cc1,CH6,Market Price,2016-01-04T10:00:00.000000000Z,-6,Intraday 1Hour,357.75,358.5,357.75,358.25
Cc1,CH6,Market Price,2016-01-04T11:00:00.000000000Z,-6,Intraday 1Hour,358.25,358.5,357.75,358.0
Cc1,CH6,Market Price,2016-01-04T12:00:00.000000000Z,-6,Intraday 1Hour,358.0,358.5,357.75,357.75
Cc1,CH6,Market Price,2016-01-04T13:00:00.000000000Z,-6,Intraday 1Hour,357.75,358.5,357.75,358.0
Cc1,CH6,Market Price,2016-01-04T14:00:00.000000000Z,-6,Intraday 1Hour,358.25,358.5,356.25,356.5
Cc1,CH6,Market Price,2016-01-04T15:00:00.000000000Z,-6,Intraday 1Hour,356.5,356.75,352.0,352.0
Cc1,CH6,Market Price,2016-01-04T16:00:00.000000000Z,-6,Intraday 1Hour,352.25,353.75,350.5,353.25
Cc1,CH6,Market Price,2016-01-04T17:00:00.000000000Z,-6,Intraday 1Hour,353.25,353.5,351.75,352.25
Cc1,CH6,Market Price,2016-01-04T18:00:00.000000000Z,-6,Intraday 1Hour,352.0,352.25,351.25,351.75
Cc1,CH6,Market Price,2016-01-04T19:00:00.000000000Z,-6,Intraday 1Hour,351.75,352.5,351.25,352.0
Cc1,CH6,Market Price,2016-01-05T01:00:00.000000000Z,-6,Intraday 1Hour,352.75,354.5,352.5,354.5
Cc1,CH6,Market Price,2016-01-05T02:00:00.000000000Z,-6,Intraday 1Hour,354.5,354.5,353.5,353.75
Cc1,CH6,Market Price,2016-01-05T03:00:00.000000000Z,-6,Intraday 1Hour,354.0,354.25,353.75,354.25
Cc1,CH6,Market Price,2016-01-05T04:00:00.000000000Z,-6,Intraday 1Hour,354.25,354.25,354.0,354.25
Cc1,CH6,Market Price,2016-01-05T05:00:00.000000000Z,-6,Intraday 1Hour,354.25,354.5,354.0,354.25
Cc1,CH6,Market Price,2016-01-05T06:00:00.000000000Z,-6,Intraday 1Hour,354.25,354.75,354.0,354.75
Cc1,CH6,Market Price,2016-01-05T07:00:00.000000000Z,-6,Intraday 1Hour,354.75,354.75,354.25,354.5
Cc1,CH6,Market Price,2016-01-05T08:00:00.000000000Z,-6,Intraday 1Hour,354.5,354.5,353.5,354.0
Cc1,CH6,Market Price,2016-01-05T09:00:00.000000000Z,-6,Intraday 1Hour,353.75,354.5,353.75,354.25
Cc1,CH6,Market Price,2016-01-05T10:00:00.000000000Z,-6,Intraday 1Hour,354.25,355.0,354.25,354.25
Cc1,CH6,Market Price,2016-01-05T11:00:00.000000000Z,-6,Intraday 1Hour,354.25,354.5,353.5,353.75
Cc1,CH6,Market Price,2016-01-05T12:00:00.000000000Z,-6,Intraday 1Hour,353.75,354.0,353.5,353.75
Cc1,CH6,Market Price,2016-01-05T13:00:00.000000000Z,-6,Intraday 1Hour,353.75,354.25,353.5,354.25
Cc1,CH6,Market Price,2016-01-05T14:00:00.000000000Z,-6,Intraday 1Hour,354.0,356.0,353.5,354.5
Cc1,CH6,Market Price,2016-01-05T15:00:00.000000000Z,-6,Intraday 1Hour,354.5,355.25,353.25,353.75
Cc1,CH6,Market Price,2016-01-05T16:00:00.000000000Z,-6,Intraday 1Hour,353.5,354.25,353.0,353.75
Cc1,CH6,Market Price,2016-01-05T17:00:00.000000000Z,-6,Intraday 1Hour,353.5,353.75,351.75,353.0
Cc1,CH6,Market Price,2016-01-05T18:00:00.000000000Z,-6,Intraday 1Hour,352.75,353.75,352.25,353.0
Cc1,CH6,Market Price,2016-01-05T19:00:00.000000000Z,-6,Intraday 1Hour,353.25,353.5,352.5,353.5
Cc1,CH6,Market Price,2016-01-06T01:00:00.000000000Z,-6,Intraday 1Hour,353.5,354.25,353.25,353.75
Cc1,CH6,Market Price,2016-01-06T02:00:00.000000000Z,-6,Intraday 1Hour,353.75,354.0,353.5,353.5
Cc1,CH6,Market Price,2016-01-06T03:00:00.000000000Z,-6,Intraday 1Hour,353.5,354.0,353.25,353.5
Cc1,CH6,Market Price,2016-01-06T04:00:00.000000000Z,-6,Intraday 1Hour,353.75,353.75,353.5,353.5
Cc1,CH6,Market Price,2016-01-06T05:00:00.000000000Z,-6,Intraday 1Hour,353.5,354.0,353.5,353.75
Cc1,CH6,Market Price,2016-01-06T06:00:00.000000000Z,-6,Intraday 1Hour,353.75,353.75,353.25,353.5
Cc1,CH6,Market Price,2016-01-06T07:00:00.000000000Z,-6,Intraday 1Hour,353.75,354.0,353.75,353.75
Cc1,CH6,Market Price,2016-01-06T08:00:00.000000000Z,-6,Intraday 1Hour,353.75,354.0,353.5,353.5
Cc1,CH6,Market Price,2016-01-06T09:00:00.000000000Z,-6,Intraday 1Hour,353.5,353.75,353.5,353.5
Cc1,CH6,Market Price,2016-01-06T10:00:00.000000000Z,-6,Intraday 1Hour,353.5,353.75,352.5,352.5
Cc1,CH6,Market Price,2016-01-06T11:00:00.000000000Z,-6,Intraday 1Hour,352.5,352.75,351.75,351.75
Cc1,CH6,Market Price,2016-01-06T12:00:00.000000000Z,-6,Intraday 1Hour,352.0,352.25,351.75,351.75
Cc1,CH6,Market Price,2016-01-06T13:00:00.000000000Z,-6,Intraday 1Hour,351.75,352.25,351.5,351.75
Cc1,CH6,Market Price,2016-01-06T14:00:00.000000000Z,-6,Intraday 1Hour,352.25,354.25,350.75,353.0
Cc1,CH6,Market Price,2016-01-06T15:00:00.000000000Z,-6,Intraday 1Hour,352.75,353.5,350.25,350.25
Cc1,CH6,Market Price,2016-01-06T16:00:00.000000000Z,-6,Intraday 1Hour,350.25,354.0,350.25,353.5
Cc1,CH6,Market Price,2016-01-06T17:00:00.000000000Z,-6,Intraday 1Hour,353.75,354.75,353.0,353.5
Cc1,CH6,Market Price,2016-01-06T18:00:00.000000000Z,-6,Intraday 1Hour,353.5,354.75,352.5,353.75
Cc1,CH6,Market Price,2016-01-06T19:00:00.000000000Z,-6,Intraday 1Hour,353.75,354.25,352.75,353.25
Cc1,CH6,Market Price,2016-01-07T01:00:00.000000000Z,-6,Intraday 1Hour,353.25,353.75,352.0,352.25
Cc1,CH6,Market Price,2016-01-07T02:00:00.000000000Z,-6,Intraday 1Hour,352.25,352.75,352.0,352.25
Cc1,CH6,Market Price,2016-01-07T03:00:00.000000000Z,-6,Intraday 1Hour,352.5,352.5,351.5,351.75
Cc1,CH6,Market Price,2016-01-07T04:00:00.000000000Z,-6,Intraday 1Hour,351.5,351.75,351.5,351.5
Cc1,CH6,Market Price,2016-01-07T05:00:00.000000000Z,-6,Intraday 1Hour,351.5,352.25,351.5,352.0
Cc1,CH6,Market Price,2016-01-07T06:00:00.000000000Z,-6,Intraday 1Hour,352.0,352.0,351.75,351.75
Cc1,CH6,Market Price,2016-01-07T07:00:00.000000000Z,-6,Intraday 1Hour,351.75,352.0,351.0,351.0
Cc1,CH6,Market Price,2016-01-07T08:00:00.000000000Z,-6,Intraday 1Hour,351.0,351.5,351.0,351.0
Cc1,CH6,Market Price,2016-01-07T09:00:00.000000000Z,-6,Intraday 1Hour,351.25,351.5,350.75,351.0
Cc1,CH6,Market Price,2016-01-07T10:00:00.000000000Z,-6,Intraday 1Hour,351.0,352.0,351.0,351.5
Cc1,CH6,Market Price,2016-01-07T11:00:00.000000000Z,-6,Intraday 1Hour,351.5,351.75,351.25,351.25
Cc1,CH6,Market Price,2016-01-07T12:00:00.000000000Z,-6,Intraday 1Hour,351.25,351.25,350.75,351.0
Cc1,CH6,Market Price,2016-01-07T13:00:00.000000000Z,-6,Intraday 1Hour,351.0,351.25,350.25,350.5
Cc1,CH6,Market Price,2016-01-07T14:00:00.000000000Z,-6,Intraday 1Hour,350.75,351.5,348.5,350.5
Cc1,CH6,Market Price,2016-01-07T15:00:00.000000000Z,-6,Intraday 1Hour,350.5,352.25,349.75,351.5
Cc1,CH6,Market Price,2016-01-07T16:00:00.000000000Z,-6,Intraday 1Hour,351.25,354.25,351.25,352.25
Cc1,CH6,Market Price,2016-01-07T17:00:00.000000000Z,-6,Intraday 1Hour,352.0,352.5,350.25,351.75
Cc1,CH6,Market Price,2016-01-07T18:00:00.000000000Z,-6,Intraday 1Hour,351.5,352.5,351.5,352.25
Cc1,CH6,Market Price,2016-01-07T19:00:00.000000000Z,-6,Intraday 1Hour,352.25,353.5,351.75,353.0
Cc1,CH6,Market Price,2016-01-08T01:00:00.000000000Z,-6,Intraday 1Hour,353.0,353.5,352.75,353.5
Cc1,CH6,Market Price,2016-01-08T02:00:00.000000000Z,-6,Intraday 1Hour,353.5,353.75,353.0,353.0
Cc1,CH6,Market Price,2016-01-08T03:00:00.000000000Z,-6,Intraday 1Hour,353.25,354.25,353.25,354.0
Cc1,CH6,Market Price,2016-01-08T04:00:00.000000000Z,-6,Intraday 1Hour,353.75,354.25,353.75,354.0
Cc1,CH6,Market Price,2016-01-08T05:00:00.000000000Z,-6,Intraday 1Hour,354.0,354.5,354.0,354.0
Cc1,CH6,Market Price,2016-01-08T06:00:00.000000000Z,-6,Intraday 1Hour,354.0,354.25,353.75,354.0
Cc1,CH6,Market Price,2016-01-08T07:00:00.000000000Z,-6,Intraday 1Hour,354.0,355.0,354.0,354.75
Cc1,CH6,Market Price,2016-01-08T08:00:00.000000000Z,-6,Intraday 1Hour,355.0,355.0,354.25,354.75
Cc1,CH6,Market Price,2016-01-08T09:00:00.000000000Z,-6,Intraday 1Hour,354.75,355.5,354.5,354.5
Cc1,CH6,Market Price,2016-01-08T10:00:00.000000000Z,-6,Intraday 1Hour,354.5,354.75,354.0,354.0
Cc1,CH6,Market Price,2016-01-08T11:00:00.000000000Z,-6,Intraday 1Hour,353.75,354.25,353.25,354.25
Cc1,CH6,Market Price,2016-01-08T12:00:00.000000000Z,-6,Intraday 1Hour,354.0,355.0,354.0,354.5
Cc1,CH6,Market Price,2016-01-08T13:00:00.000000000Z,-6,Intraday 1Hour,354.75,355.0,353.75,354.5
Cc1,CH6,Market Price,2016-01-08T14:00:00.000000000Z,-6,Intraday 1Hour,354.0,357.0,353.75,356.5
