#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last
JNIc1,JNIH7,Market Price,2017-01-03T23:00:00.000000000Z,9,Intraday 1Hour,19270.0,19290.0,19260.0,19270.0
JNIc1,JNIH7,Market Price,2017-01-04T00:00:00.000000000Z,9,Intraday 1Hour,19270.0,19450.0,19270.0,19440.0
JNIc1,JNIH7,Market Price,2017-01-04T01:00:00.000000000Z,9,Intraday 1Hour,19430.0,19500.0,19420.0,19500.0
JNIc1,JNIH7,Market Price,2017-01-04T02:00:00.000000000Z,9,Intraday 1Hour,19500.0,19530.0,19490.0,19500.0
JNIc1,JNIH7,Market Price,2017-01-04T03:00:00.000000000Z,9,Intraday 1Hour,19490.0,19530.0,19480.0,19520.0
JNIc1,JNIH7,Market Price,2017-01-04T04:00:00.000000000Z,9,Intraday 1Hour,19520.0,19560.0,19510.0,19560.0
JNIc1,JNIH7,Market Price,2017-01-04T05:00:00.000000000Z,9,Intraday 1Hour,19560.0,19590.0,19550.0,19580.0
JNIc1,JNIH7,Market Price,2017-01-04T06:00:00.000000000Z,9,Intraday 1Hour,19590.0,19640.0,19570.0,19630.0
JNIc1,JNIH7,Market Price,2017-01-04T07:00:00.000000000Z,9,Intraday 1Hour,19610.0,19630.0,19600.0,19620.0
JNIc1,JNIH7,Market Price,2017-01-04T08:00:00.000000000Z,9,Intraday 1Hour,19610.0,19610.0,19560.0,19570.0
JNIc1,JNIH7,Market Price,2017-01-04T09:00:00.000000000Z,9,Intraday 1Hour,19570.0,19580.0,19550.0,19580.0
JNIc1,JNIH7,Market Price,2017-01-04T10:00:00.000000000Z,9,Intraday 1Hour,19580.0,19600.0,19570.0,19570.0
JNIc1,JNIH7,Market Price,2017-01-04T11:00:00.000000000Z,9,Intraday 1Hour,19570.0,19580.0,19550.0,19570.0
JNIc1,JNIH7,Market Price,2017-01-04T12:00:00.000000000Z,9,Intraday 1Hour,19570.0,19590.0,19570.0,19580.0
JNIc1,JNIH7,Market Price,2017-01-04T13:00:00.000000000Z,9,Intraday 1Hour,19580.0,19610.0,19570.0,19590.0
JNIc1,JNIH7,Market Price,2017-01-04T14:00:00.000000000Z,9,Intraday 1Hour,19590.0,19610.0,19540.0,19550.0
JNIc1,JNIH7,Market Price,2017-01-04T15:00:00.000000000Z,9,Intraday 1Hour,19560.0,19580.0,19520.0,19560.0
JNIc1,JNIH7,Market Price,2017-01-04T16:00:00.000000000Z,9,Intraday 1Hour,19560.0,19610.0,19560.0,19610.0
JNIc1,JNIH7,Market Price,2017-01-04T17:00:00.000000000Z,9,Intraday 1Hour,19600.0,19610.0,19580.0,19590.0
JNIc1,JNIH7,Market Price,2017-01-04T18:00:00.000000000Z,9,Intraday 1Hour,19590.0,19610.0,19590.0,19590.0
JNIc1,JNIH7,Market Price,2017-01-04T19:00:00.000000000Z,9,Intraday 1Hour,19600.0,19670.0,19580.0,19650.0
JNIc1,JNIH7,Market Price,2017-01-04T20:00:00.000000000Z,9,Intraday 1Hour,19650.0,19660.0,19650.0,19660.0
JNIc1,JNIH7,Market Price,2017-01-04T23:00:00.000000000Z,9,Intraday 1Hour,19630.0,19640.0,19580.0,19590.0
JNIc1,JNIH7,Market Price,2017-01-05T00:00:00.000000000Z,9,Intraday 1Hour,19590.0,19610.0,19530.0,19540.0
JNIc1,JNIH7,Market Price,2017-01-05T01:00:00.000000000Z,9,Intraday 1Hour,19540.0,19580.0,19520.0,19540.0
JNIc1,JNIH7,Market Price,2017-01-05T02:00:00.000000000Z,9,Intraday 1Hour,19530.0,19550.0,19500.0,19510.0
JNIc1,JNIH7,Market Price,2017-01-05T03:00:00.000000000Z,9,Intraday 1Hour,19500.0,19520.0,19470.0,19500.0
JNIc1,JNIH7,Market Price,2017-01-05T04:00:00.000000000Z,9,Intraday 1Hour,19500.0,19530.0,19470.0,19480.0
JNIc1,JNIH7,Market Price,2017-01-05T05:00:00.000000000Z,9,Intraday 1Hour,19480.0,19530.0,19450.0,19510.0
JNIc1,JNIH7,Market Price,2017-01-05T06:00:00.000000000Z,9,Intraday 1Hour,19520.0,19530.0,19490.0,19500.0
JNIc1,JNIH7,Market Price,2017-01-05T07:00:00.000000000Z,9,Intraday 1Hour,19440.0,19450.0,19400.0,19430.0
JNIc1,JNIH7,Market Price,2017-01-05T08:00:00.000000000Z,9,Intraday 1Hour,19430.0,19520.0,19400.0,19490.0
JNIc1,JNIH7,Market Price,2017-01-05T09:00:00.000000000Z,9,Intraday 1Hour,19490.0,19540.0,19480.0,19540.0
JNIc1,JNIH7,Market Price,2017-01-05T10:00:00.000000000Z,9,Intraday 1Hour,19530.0,19550.0,19500.0,19550.0
JNIc1,JNIH7,Market Price,2017-01-05T11:00:00.000000000Z,9,Intraday 1Hour,19550.0,19550.0,19520.0,19540.0
JNIc1,JNIH7,Market Price,2017-01-05T12:00:00.000000000Z,9,Intraday 1Hour,19540.0,19540.0,19490.0,19510.0
JNIc1,JNIH7,Market Price,2017-01-05T13:00:00.000000000Z,9,Intraday 1Hour,19500.0,19520.0,19460.0,19480.0
JNIc1,JNIH7,Market Price,2017-01-05T14:00:00.000000000Z,9,Intraday 1Hour,19480.0,19510.0,19450.0,19510.0
JNIc1,JNIH7,Market Price,2017-01-05T15:00:00.000000000Z,9,Intraday 1Hour,19500.0,19500.0,19400.0,19440.0
JNIc1,JNIH7,Market Price,2017-01-05T16:00:00.000000000Z,9,Intraday 1Hour,19430.0,19440.0,19360.0,19390.0
JNIc1,JNIH7,Market Price,2017-01-05T17:00:00.000000000Z,9,Intraday 1Hour,19400.0,19410.0,19380.0,19410.0
JNIc1,JNIH7,Market Price,2017-01-05T18:00:00.000000000Z,9,Intraday 1Hour,19410.0,19440.0,19410.0,19420.0
JNIc1,JNIH7,Market Price,2017-01-05T19:00:00.000000000Z,9,Intraday 1Hour,19430.0,19460.0,19430.0,19440.0
JNIc1,JNIH7,Market Price,2017-01-05T20:00:00.000000000Z,9,Intraday 1Hour,19440.0,19460.0,19430.0,19430.0
JNIc1,JNIH7,Market Price,2017-01-05T23:00:00.000000000Z,9,Intraday 1Hour,19370.0,19370.0,19310.0,19340.0
JNIc1,JNIH7,Market Price,2017-01-06T00:00:00.000000000Z,9,Intraday 1Hour,19330.0,19420.0,19320.0,19420.0
JNIc1,JNIH7,Market Price,2017-01-06T01:00:00.000000000Z,9,Intraday 1Hour,19410.0,19460.0,19410.0,19430.0
JNIc1,JNIH7,Market Price,2017-01-06T02:00:00.000000000Z,9,Intraday 1Hour,19430.0,19450.0,19410.0,19430.0
JNIc1,JNIH7,Market Price,2017-01-06T03:00:00.000000000Z,9,Intraday 1Hour,19430.0,19450.0,19420.0,19430.0
JNIc1,JNIH7,Market Price,2017-01-06T04:00:00.000000000Z,9,Intraday 1Hour,19430.0,19440.0,19370.0,19430.0
JNIc1,JNIH7,Market Price,2017-01-06T05:00:00.000000000Z,9,Intraday 1Hour,19430.0,19460.0,19410.0,19450.0
JNIc1,JNIH7,Market Price,2017-01-06T06:00:00.000000000Z,9,Intraday 1Hour,19450.0,19450.0,19400.0,19400.0
JNIc1,JNIH7,Market Price,2017-01-06T07:00:00.000000000Z,9,Intraday 1Hour,19450.0,19470.0,19430.0,19450.0
JNIc1,JNIH7,Market Price,2017-01-06T08:00:00.000000000Z,9,Intraday 1Hour,19450.0,19450.0,19420.0,19420.0
JNIc1,JNIH7,Market Price,2017-01-06T09:00:00.000000000Z,9,Intraday 1Hour,19420.0,19430.0,19400.0,19410.0
JNIc1,JNIH7,Market Price,2017-01-06T10:00:00.000000000Z,9,Intraday 1Hour,19410.0,19430.0,19400.0,19410.0
JNIc1,JNIH7,Market Price,2017-01-06T11:00:00.000000000Z,9,Intraday 1Hour,19400.0,19430.0,19400.0,19430.0
JNIc1,JNIH7,Market Price,2017-01-06T12:00:00.000000000Z,9,Intraday 1Hour,19430.0,19430.0,19410.0,19410.0
JNIc1,JNIH7,Market Price,2017-01-06T13:00:00.000000000Z,9,Intraday 1Hour,19420.0,19550.0,19400.0,19540.0
