assetCode,windowTimestamp,Open,High,Low,Last
Wc1,1997-12-31T15:00:00.000000000Z,328.5,329.5,327.0,328.0
Wc1,1997-12-31T16:00:00.000000000Z,327.75,328.25,326.25,326.5
Wc1,1997-12-31T17:00:00.000000000Z,326.25,326.75,326.0,326.25
Wc1,1997-12-31T18:00:00.000000000Z,326.0,326.5,325.5,325.75
Wc1,1998-01-02T15:00:00.000000000Z,327.0,328.5,325.25,325.25
Wc1,1998-01-02T16:00:00.000000000Z,325.5,328.0,325.25,325.75
Wc1,1998-01-02T17:00:00.000000000Z,325.5,328.5,325.0,328.25
Wc1,1998-01-02T18:00:00.000000000Z,328.25,330.0,328.0,330.0
Wc1,1998-01-02T19:00:00.000000000Z,329.75,331.5,328.75,330.75
Wc1,1998-01-05T04:00:00.000000000Z,330.75,332.0,330.75,332.0
Wc1,1998-01-05T08:00:00.000000000Z,332.25,332.5,332.25,332.5
Wc1,1998-01-05T09:00:00.000000000Z,332.0,332.0,332.0,332.0
Wc1,1998-01-05T10:00:00.000000000Z,332.0,332.0,332.0,332.0
Wc1,1998-01-05T15:00:00.000000000Z,332.5,334.0,332.0,332.5
Wc1,1998-01-05T16:00:00.000000000Z,332.0,332.0,327.0,329.75
Wc1,1998-01-05T17:00:00.000000000Z,329.5,332.5,329.5,331.0
Wc1,1998-01-05T18:00:00.000000000Z,330.5,331.5,329.25,330.0
Wc1,1998-01-05T19:00:00.000000000Z,329.75,331.5,329.5,331.0
Wc1,1998-01-06T04:00:00.000000000Z,331.0,331.5,331.0,331.5
Wc1,1998-01-06T05:00:00.000000000Z,330.75,330.75,330.75,330.75
Wc1,1998-01-06T09:00:00.000000000Z,331.0,331.0,331.0,331.0
Wc1,1998-01-06T10:00:00.000000000Z,330.75,331.0,330.75,331.0
Wc1,1998-01-06T11:00:00.000000000Z,331.0,331.0,331.0,331.0
Wc1,1998-01-06T15:00:00.000000000Z,331.0,331.0,328.5,330.5
Wc1,1998-01-06T16:00:00.000000000Z,330.25,331.0,329.5,329.75
Wc1,1998-01-06T17:00:00.000000000Z,329.5,329.5,327.5,327.75
Wc1,1998-01-06T18:00:00.000000000Z,328.0,328.0,324.0,325.75
Wc1,1998-01-06T19:00:00.000000000Z,325.5,327.0,324.0,324.5
Wc1,1998-01-07T04:00:00.000000000Z,324.75,324.75,324.0,324.0
Wc1,1998-01-07T05:00:00.000000000Z,323.5,323.5,323.5,323.5
Wc1,1998-01-07T07:00:00.000000000Z,323.0,323.5,323.0,323.5
Wc1,1998-01-07T10:00:00.000000000Z,324.0,324.5,324.0,324.5
Wc1,1998-01-07T15:00:00.000000000Z,324.0,326.0,322.5,325.5
Wc1,1998-01-07T16:00:00.000000000Z,325.75,327.0,324.5,327.0
Wc1,1998-01-07T17:00:00.000000000Z,326.75,327.0,325.0,327.0
Wc1,1998-01-07T18:00:00.000000000Z,326.75,326.75,325.5,326.5
Wc1,1998-01-08T04:00:00.000000000Z,329.5,329.5,329.0,329.0
Wc1,1998-01-08T06:00:00.000000000Z,329.5,329.5,329.25,329.25
Wc1,1998-01-08T07:00:00.000000000Z,329.0,329.0,329.0,329.0
Wc1,1998-01-08T09:00:00.000000000Z,328.5,328.5,328.0,328.0
Wc1,1998-01-08T10:00:00.000000000Z,327.75,327.75,327.75,327.75
