assetCode,windowTimestamp,Open,High,Low,Last
JPY=,2018-01-11T22:00:00.000000000Z,111.24,111.28,111.18,111.22
JPY=,2018-01-11T23:00:00.000000000Z,111.22,111.33,111.2,111.27
JPY=,2018-01-12T00:00:00.000000000Z,111.27,111.29,111.05,111.2
JPY=,2018-01-12T01:00:00.000000000Z,111.21,111.34,111.16,111.32
JPY=,2018-01-12T02:00:00.000000000Z,111.33,111.34,111.2,111.22
JPY=,2018-01-12T03:00:00.000000000Z,111.23,111.3,111.19,111.26
JPY=,2018-01-12T04:00:00.000000000Z,111.25,111.31,111.2,111.22
JPY=,2018-01-12T05:00:00.000000000Z,111.23,111.27,111.17,111.23
JPY=,2018-01-12T06:00:00.000000000Z,111.23,111.36,111.2,111.31
JPY=,2018-01-12T07:00:00.000000000Z,111.31,111.4,111.25,111.36
JPY=,2018-01-12T08:00:00.000000000Z,111.36,111.43,111.2,111.21
JPY=,2018-01-12T09:00:00.000000000Z,111.22,111.23,110.98,111.09
JPY=,2018-01-12T10:00:00.000000000Z,111.1,111.13,111.0,111.06
JPY=,2018-01-12T11:00:00.000000000Z,111.07,111.15,110.96,111.12
JPY=,2018-01-12T12:00:00.000000000Z,111.12,111.17,111.1,111.15
JPY=,2018-01-12T13:00:00.000000000Z,111.16,111.67,111.11,111.63
JPY=,2018-01-12T14:00:00.000000000Z,111.62,111.69,111.35,111.46
JPY=,2018-01-12T15:00:00.000000000Z,111.47,111.48,111.25,111.29
JPY=,2018-01-12T16:00:00.000000000Z,111.3,111.4,111.14,111.21
JPY=,2018-01-12T17:00:00.000000000Z,111.22,111.26,111.18,111.22
JPY=,2018-01-12T18:00:00.000000000Z,111.23,111.23,110.99,111.04
JPY=,2018-01-12T19:00:00.000000000Z,111.04,111.05,110.9,111.04
JPY=,2018-01-12T20:00:00.000000000Z,111.04,111.06,110.92,111.03
JPY=,2018-01-12T21:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-12T22:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-12T23:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T00:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T01:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T02:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T03:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T04:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T05:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T06:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T07:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T08:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T09:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T10:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T11:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T12:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T13:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T14:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T15:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T16:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T17:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T18:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T19:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T20:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T21:00:00.000000000Z,111.03,111.03,111.03,111.03
JPY=,2018-01-13T22:00:00.000000000Z,111.03,111.03,111.03,111.03
